feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acinetobacter	PMAxx		1.5842027996501	0.174851283396258	350	338	2.63520964814271e-16	5.53394026109968e-15
Escherichia.Shigella	PMAxx		3.2527973717002	0.363835372563596	350	230	5.55454250425089e-16	5.83226962946343e-15
Corynebacterium	PMAxx		-2.86453517489008	0.342496698797918	350	287	1.90009737135495e-14	1.33006815994847e-13
Micrococcus	PMAxx		-3.20325714826294	0.4217814589726	350	232	1.81412709733592e-12	9.52416726101356e-12
Paracoccus	PMAxx		-2.74601086997871	0.365295020363487	350	118	2.8378113804787e-12	1.09839855536884e-11
Staphylococcus	PMAxx		-1.96582824206415	0.262117735325376	350	290	3.13828158676811e-12	1.09839855536884e-11
Anaerococcus	PMAxx		-2.37048990905833	0.346284339650499	350	189	1.25433974924946e-10	3.29264184177982e-10
Bacillus	PMAxx		1.50388842188357	0.219267593973185	350	215	1.16649247510762e-10	3.29264184177982e-10
Afipia	PMAxx		0.957703474640776	0.14841846057361	350	114	1.05229409367464e-09	2.45535288524083e-09
Brachybacterium	PMAxx		-1.55840756288119	0.249765065552662	350	77	3.24005553921817e-09	6.80411663235816e-09
Dietzia	PMAxx		-1.65677414200896	0.277479402051269	350	103	1.29447198356101e-08	2.47126469588919e-08
Finegoldia	PMAxx		-1.85268360806721	0.314264807406354	350	122	1.89772386565194e-08	3.3210167648909e-08
Kocuria	PMAxx		-1.39735660990214	0.293101866610001	350	109	3.92425553505346e-06	6.33918201816328e-06
Cutibacterium	PMAxx		-1.35842404067492	0.296066545703469	350	277	8.52588756510668e-06	1.278883134766e-05
Peptoniphilus	PMAxx		-1.22416981865942	0.309409513338996	350	94	0.000110608589339693	0.00015485202507557
Streptococcus	PMAxx		-1.4983393216479	0.412034620250779	350	216	0.00036390931042986	0.000477630969939191
Brevundimonas	PMAxx		-1.21884151765109	0.34075836534645	350	110	0.000450503424541642	0.000556504230316147
Streptomyces	PMAxx		0.997802159878363	0.340160914361676	350	151	0.00380542004923099	0.00443965672410282
uncultured	PMAxx		-0.949263236785674	0.350484968003748	350	116	0.00743554646553519	0.00821823556717047
Pseudomonas	PMAxx		0.982554992049696	0.404380097327016	350	178	0.0161242633294159	0.0169304764958867
Methylobacterium.Methylorubrum	PMAxx		0.456074000477513	0.30940124933216	350	101	0.142274085921142	0.142274085921142
