feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	Timepoint	OR	-4.42685187602518	0.786250054161355	139	101	1.40623853156158e-07	1.40623853156158e-05
Acinetobacter	Timepoint	Post	4.10764569354312	0.775542867632523	139	132	6.03900704019413e-07	3.01950352009707e-05
Corynebacterium	Timepoint	OR	-4.91226643230632	0.942695866928895	139	103	9.55479634264641e-07	3.18493211421547e-05
Acinetobacter	Timepoint	OR	3.93100859845716	0.775542867632523	139	132	1.61378182723989e-06	4.03445456809973e-05
Corynebacterium	Timepoint	Post	-4.37064790933705	0.942695866928895	139	103	1.03278059605073e-05	0.000206556119210146
Staphylococcus	Timepoint	Post	-3.50310637783021	0.786250054161355	139	101	2.03084828329243e-05	0.000338474713882072
Acinetobacter	Timepoint	Pre	3.39249197987079	0.782914594884345	139	132	3.23193889638099e-05	0.000461705556625856
Afipia	Timepoint	OR	2.20425388444669	0.552060067499361	139	44	0.000120026363584291	0.00147925837858304
Bacillus	Timepoint	Pre	2.94586881824537	0.743093622503101	139	82	0.000133133254072473	0.00147925837858304
Afipia	Timepoint	Post	2.02386336427381	0.552060067499361	139	44	0.000385377029913725	0.00350342754467023
Bacillus	Timepoint	Post	2.69720020375265	0.734921535561176	139	82	0.000380066752177161	0.00350342754467023
Pseudomonas	Timepoint	OR	3.7541795251759	1.03396036883318	139	68	0.00043464455052451	0.00362203792103758
Bacillus	Timepoint	OR	2.6106829933976	0.734921535561176	139	82	0.000569423541116704	0.00438018108551311
Anaerococcus	Timepoint	OR	-3.15060846912098	0.943731741997744	139	51	0.00115623885140881	0.00825884893863438
Anaerococcus	Timepoint	Post	-3.03824355133839	0.943731741997745	139	51	0.00169642511182961	0.0113095007455308
Escherichia.Shigella	Timepoint	OR	3.47566312451383	1.08922329312456	139	103	0.0018806738325685	0.0117542114535531
Escherichia.Shigella	Timepoint	Post	3.45388607275418	1.08922329312456	139	103	0.00200249153939047	0.0117793619964145
Streptomyces	Timepoint	OR	3.47371862902214	1.13787299624128	139	59	0.00286351176248726	0.0159083986804848
Staphylococcus	Timepoint	Pre	-2.39722186783268	0.793510252019267	139	101	0.00313288323180343	0.0164888591147549
Finegoldia	Timepoint	Post	-2.56538964948654	0.857270708547339	139	39	0.00341293890802795	0.0170646945401398
Pseudomonas	Timepoint	Pre	2.77597115953331	1.04478597056501	139	68	0.00908400372684894	0.0432571606040425
Afipia	Timepoint	Pre	1.45401963578101	0.558261668837882	139	44	0.0105063305755303	0.0461507470016701
Corynebacterium	Timepoint	Pre	-2.46187772388738	0.950981715014061	139	103	0.0109962791285246	0.0461507470016701
Streptomyces	Timepoint	Post	2.94197014612055	1.13787299624128	139	59	0.0110761792804008	0.0461507470016701
