feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonas	Timepoint	Pre	3.65534811480938	1.11077242910931	43	24	0.00255548669553513	0.178884068687459
Staphylococcus	Timepoint	OR	-4.22222600825707	1.229352892622	43	32	0.00147892165048725	0.178884068687459
Lawsonella	Timepoint	Pre	1.66588194087349	0.563198488164547	43	5	0.0053037502048139	0.247508342891315
Streptomyces	Timepoint	OR	2.76937561642801	1.00177097984713	43	22	0.00962695200148262	0.2969245892889
uncultured	Timepoint	Pre	1.99183263409808	0.730474588391238	43	14	0.0106044496174607	0.2969245892889
Pseudomonas	Timepoint	OR	2.86820212654122	1.11077242910931	43	24	0.0149319370577618	0.298638741155236
Pseudomonas	Timepoint	Post	2.90597379858448	1.11077242910931	43	24	0.013776832950227	0.298638741155236
Haemophilus	Timepoint	Pre	1.6266246256211	0.657941354961423	43	9	0.0192667595006797	0.337168291261895
Acinetobacter	Timepoint	OR	1.42747085662839	0.637671216747901	43	42	0.031552688730633	0.367509912056639
Bacillus	Timepoint	OR	1.34705706545732	0.626283698527017	43	29	0.0396754966939832	0.367509912056639
Brevibacterium	Timepoint	Pre	-1.01276034982537	0.528582729433916	43	7	0.0629118566302298	0.367509912056639
Brevibacterium	Timepoint	OR	-1.01276034982537	0.528582729433915	43	7	0.0629118566302296	0.367509912056639
Corynebacterium	Timepoint	OR	-2.34156938589007	1.06991794853765	43	31	0.0350179944280732	0.367509912056639
Cutibacterium	Timepoint	Post	-2.03036024631466	1.03560020325386	43	33	0.0593292203769662	0.367509912056639
Kocuria	Timepoint	Post	-1.3667915555613	0.581142754424952	43	15	0.0253837502416951	0.367509912056639
Luteimonas	Timepoint	Post	0.624649850340664	0.280590672052288	43	5	0.0335851223140047	0.367509912056639
Micrococcus	Timepoint	OR	-2.13537007088715	1.10834644772353	43	33	0.0635199954426582	0.367509912056639
Pelomonas	Timepoint	Pre	-0.936791979781476	0.429405716439819	43	5	0.0371975302965428	0.367509912056639
Pelomonas	Timepoint	Post	-0.825680868670365	0.429405716439819	43	5	0.0641437762505607	0.367509912056639
Peptoniphilus	Timepoint	Pre	-1.53909880300337	0.754654898621449	43	5	0.0484005195420551	0.367509912056639
Peptoniphilus	Timepoint	OR	-1.53909880300338	0.754654898621449	43	5	0.0484005195420551	0.367509912056639
Roseomonas	Timepoint	Pre	-0.9315805686159	0.491422830992618	43	6	0.0656267700101141	0.367509912056639
Roseomonas	Timepoint	OR	-0.9315805686159	0.491422830992618	43	6	0.0656267700101141	0.367509912056639
Streptococcus	Timepoint	Pre	3.46552786199457	1.68275532103653	43	26	0.0481882411369602	0.367509912056639
Streptomyces	Timepoint	Pre	1.94857751927559	1.00177097984713	43	22	0.0611251516821823	0.367509912056639
