OTU,Genus,Species,BLAST_Species,CoNS/CoPS
415b1e36c1b4077fd0553dbdb2e01748,Acinetobacter,Acinetobacter_radioresistens,Acinetobacter radioresistens,
e9fd50e83af2d25a154929ad1911634d,Acinetobacter,Acinetobacter_radioresistens,Acinetobacter radioresistens,
29ebba26f84d46a3a0374256ff7b972c,Acinetobacter,Acinetobacter_ursingii,Acinetobacter ursingii,
3f14d8bd2db9e9fc7f42e9220532ae3c,Acinetobacter,Acinetobacter_ursingii,Acinetobacter ursingii,
4876568819194865e1b6b8ca465b4eb9,Acinetobacter,Acinetobacter_ursingii,Acinetobacter ursingii,
20ea1fab07e557617021f078cc478ba9,Acinetobacter,Acinetobacter_variabilis,Acinetobacter variabilis,
2293305a92cc8d6b28a34e2459121244,Acinetobacter,NA,Acinetobacter pittii,
299d0b47b16885eae0373dd9e185d8be,Acinetobacter,NA,Acinetobacter lwoffii,
39ad0ddc91aea14d769545d58b95d3f3,Acinetobacter,NA,Acinetobacter spp. ,
3e7e791b42d12581342097d3ad88a79f,Acinetobacter,NA,Acinetobacter spp. ,
51f28b14ac054ba7571df1ee8b5ed45c,Acinetobacter,NA,Acinetobacter lwoffii,
6860f52a20a034702fd64aeb83a6c12c,Acinetobacter,NA,Acinetobacter spp. ,
76181ac80d4c48190b3d0bf52903bf77,Acinetobacter,NA,Acinetobacter spp. ,
841f0109282b3a34dbd84c8f94d093ee,Acinetobacter,NA,Acinetobacter lwoffii,
989efddf26552a66c029a66cd0f4a79c,Acinetobacter,NA,Acinetobacter spp. ,
a74762b55033ffb5fd00f734d0113311,Acinetobacter,NA,Acinetobacter lwoffii,
abc62ec1d8cdd6c72fb27956df3c426e,Acinetobacter,NA,Acinetobacter johnsonii,
da0ef13f00228c54b3ae7049e43302f8,Acinetobacter,NA,Acinetobacter spp. ,
e601ca0406d68a94a02997e325db7e94,Acinetobacter,NA,Acinetobacter spp. ,
f9101ffb308e7f9807f81798c1b3205e,Acinetobacter,NA,Acinetobacter junii,
f95b20be3f12eea78636f21241695bb4,Acinetobacter,NA,Acinetobacter spp. ,
37f5315ee9fe60970c5c1cc212f46394,Bacillus,Bacillus_coagulans,Bacillus coagulans,
1c89e664d54c217fdd98762a06d67b3c,Bacillus,NA,Bacillus spp. ,
4dfea4633ff3fba0b29270962e1cb5ea,Bacillus,NA,Bacillus cereus,
568a8e5edc429cccc34952e9a6e9777a,Bacillus,NA,Bacillus subtilis,
609f3d31e36073ee2783ba6cb1ce2ad5,Bacillus,NA,Bacillus spp. ,
727468e1609634b15fb02f62fbb327d4,Bacillus,NA,Bacillus spp. ,
a31c5c22c8a4e3f6e6d0c8a828d79fea,Bacillus,NA,Bacillus subtilis,
a3efc25a668d0f28c3a1cf877fd9eb94,Bacillus,NA,Bacillus spp. ,
a9f2228d4b7c322c2b73f76e4b174f42,Bacillus,NA,Bacillus cereus,
b89e29d8738c1d41faafdc34263dd3fa,Bacillus,NA,Bacillus subtilis,
c50a0dbec43f939e0faa0c66cfcf79af,Bacillus,NA,Bacillus subtilis,
1e5a37dacdfe7196bbd7fa9a4f502f40,Escherichia-Shigella,NA,Escherichia coli,
33bd7bf7da48b7615ea79b32daa0ebdb,Escherichia-Shigella,NA,Escherichia coli,
36ac7c0fed1dd194a97f54208798b9fb,Escherichia-Shigella,NA,Escherichia-Shigella spp.,
918921ece8a5806753824b3465e4231e,Escherichia-Shigella,NA,Escherichia coli,
92159d1f3c6ccc7bbf8e301c152aa465,Escherichia-Shigella,NA,Escherichia-Shigella spp.,
af0a48f446d8fde7c07c42cea6cf885f,Escherichia-Shigella,NA,Escherichia-Shigella spp.,
da050b395cfb7158202243eae99d71ea,Escherichia-Shigella,NA,Escherichia coli,
edbad2ff5bd39f2a950a7e1e5163d37d,Escherichia-Shigella,NA,Escherichia-Shigella spp.,
18750ccad3df7718507e1d3d7e6b6d17,Pseudomonas,NA,Pseudomonas spp.,
25850193499b5aa8842d45f284199eac,Pseudomonas,NA,Pseudomonas aeruginosa,
2b92e9169ed408c43e7a4e38e9ed571a,Pseudomonas,NA,Pseudomonas lactis,
3265bc3a883ac948992c3a5de5e9be10,Pseudomonas,NA,Pseudomonas lactis,
34662cdb0c6982e4fb679614d76a8a8f,Pseudomonas,NA,Pseudomonas spp.,
3fb5a37f99022addbe3a2e08bf1221bc,Pseudomonas,NA,Pseudomonas spp.,
5e4c94a8f7b67ce9af8d66e5d6577b65,Pseudomonas,NA,Pseudomonas fluorescens,
6d7306260e2585f81b1be3d1aa32cb87,Pseudomonas,NA,Pseudomonas spp.,
74309b051bcd6d3d61afda25713cda29,Pseudomonas,NA,Pseudomonas stutzeri,
999318b684d4d3da8654cb5d39cfa9f7,Pseudomonas,NA,Pseudomonas stutzeri,
c363efec4d528540b22de8b65a27fd35,Pseudomonas,NA,Pseudomonas stutzeri,
dc352e9a8728759408c48efc8429d682,Pseudomonas,NA,Pseudomonas aeruginosa,
e5d3cfab1482c52aaf285ef63fb6eac8,Pseudomonas,NA,Pseudomonas aeruginosa,
e6c7c8d282f496e517472ddaf1f27e5f,Pseudomonas,NA,Pseudomonas spp.,
f083821fcf7972dec97c1266785828e7,Pseudomonas,NA,Pseudomonas lactis,
fb905dbc853f4b04d87f391a594e05bc,Pseudomonas,NA,Pseudomonas lactis,
fcd6b1e846ff92907c4eca9c46a96ffd,Pseudomonas,NA,Pseudomonas spp.,
