SampleID,Eubacterium_nodatum_group,0319-6G20,Abiotrophia,Acinetobacter,Actinomyces,Aerococcus,Aeromonas,Afipia,Agathobacter,Alkanindiges,Alloprevotella,Amaricoccus,Anaerococcus,Anoxybacillus,Atopobium,Aureimonas,Auricoccus-Abyssicoccus,Azospirillum,Bacillus,Bacteroides,Bifidobacterium,Blastococcus,Blautia,Bosea,Brachybacterium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia-Caballeronia-Paraburkholderia,Campylobacter,Capnocytophaga,Caulobacter,Clostridium_sensu_stricto_1,Collinsella,Comamonas,Corynebacterium,Cutibacterium,Deinococcus,Delftia,Denitratisoma,Dermabacter,Dermacoccus,Dietzia,Dolosigranulum,Dorea,DSSD61,Enterobacter,Enterococcus,Eremococcus,Escherichia-Shigella,Ezakiella,Facklamia,Faecalibacterium,Fastidiosipila,Fenollaria,Finegoldia,Fusicatenibacter,Fusobacterium,Gardnerella,Gemella,Gordonia,Granulicatella,Haematobacter,Haemophilus,Helcococcus,Intestinibacter,Janthinobacterium,Jeotgalicoccus,JG30-KF-CM45,KD4-96,Klebsiella,Klenkia,Kocuria,Kytococcus,Lachnoanaerobaculum,Lactobacillus,Lactococcus,Lautropia,Lawsonella,Leptotrichia,Leuconostoc,Luteimonas,Macrococcus,Marmoricola,Massilia,Meiothermus,Methylobacterium-Methylorubrum,Methylocella,Methylophilus,Microbacterium,Micrococcus,Millisia,Mobilicoccus,Moraxella,Murdochiella,Muricoccus,Mycobacterium,Mycoplasma,Negativicoccus,Neisseria,Nesterenkonia,Oribacterium,Ornithinimicrobium,Ottowia,Pantoea,Paracoccus,Pedobacter,Pelomonas,Peptoniphilus,Peptostreptococcus,Phreatobacter,Porphyromonas,Prevotella,Pseudoclavibacter,Pseudoglutamicibacter,Pseudomonas,Pseudorhodoplanes,Pseudoxanthomonas,Puia,Raoultella,Rhodococcus,Romboutsia,Roseomonas,Rothia,Ruminococcus,S5-A14a,Saccharimonadales,Selenomonas,Serratia,Skermanella,Sphingobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Subdoligranulum,Terrisporobacter,Turicibacter,uncultured,Varibaculum,Veillonella,Weissella,WPS-2,Xanthomonas,Yimella
LK16S009-042,0,0,0,7.34991E-05,0.008761098,0,0,0.000617393,0,0,0,0,0.001293585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720600341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205798,0,0,0,0,0,0.105456577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00513024,0,0,0,0,0,0,0.000102899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15775857,0,0,0,0,0,0,0,0,0,0,0
LK16S009-043,0,0,0,0.01041224,0,0,0,0.0079998,0,0,0,0.003737407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001537462,0.029811755,0,0,0,0,0,0,0.00238744,0,0,0,0,0,0,0,0,0,0,0,0.021536962,0,0,0,0.000674983,0.000587485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023861903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008187295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888827779,0,0,0.000174996,0,0,0,0,0,0,0.000262493,0,0,0,0
LK16S009-044,0,0,0,0.001159954,0,0,0,0.010009088,0,0,0,0,0.149789534,0,0,0,0,0,0.00083708,0,0,0,0,0,0,0,0,0,0,0,0.057088874,0,0,0,0,0,0.658100545,0.000645748,0,0,0,0,0,0,0,0,0,0,0,0,0.003491821,0,0,0,0,0,0.017375395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026834402,0,0,0,0,0,0,0.005249689,0,0,0,0,0,0,0,0.000849039,0,0,0,0,0,0,0,0.064359514,0,0,0.003061322,0,0,0,0,0,0,0.001147996,0,0,0,0
LK16S009-045,0,0,0,0.048240399,0.002084652,0,0,0.015951451,0,0,0,0,0.341774888,0,0,0,0,0,0.004416375,0,0,0,0,0,0,0,0,0.001034605,0,0,0,0,0,0,0,0.003628839,0.079216788,0.045692491,0,0,0,0,0,0.000432372,0,0,0,0,0.001822141,0,0.011921123,0,0,0,0,0,0.047576399,0,0,0,0,0,0,0,0,0,0,0.057351102,0,0,0,0,0,0.002331722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008446702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007134144,0,0,0,0,0.000756652,0,0.001961117,0,0.025077595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275699131,0.017449312,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-046,0,0,0,0.188532592,0,0,0,0.055196756,0,0,0,0,0.018248723,0,0,0,0,0,0.006571042,0,0,0,0,0,0,0,0,0.051179033,0,0,0.012954341,0,0,0,0,0.005031541,0.016333734,0.082006609,0,0,0,0,0,0,0,0,0,0.016108441,0,0,0.025495644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11013067,0,0,0,0.010175728,0,0.006120457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030452088,0,0.012128267,0,0,0,0,0,0,0.166528988,0,0,0,0,0,0,0,0.002065185,0,0,0,0,0,0,0,0.021890958,0.144713127,0,0.018136077,0,0,0,0,0,0,0,0,0,0,0
LK16S009-047,0,0,0,0.129773875,0,0,0,0.044863019,0,0,0,0,0.037876284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046892949,0,0,0,0,0,0,0,0.026719539,0.000440605,0.013218147,0,0.028356072,0,0,0,0,0,0,0,0,0,0,0.022344962,0,0,0,0,0,0.007506019,0,0,0,0,0,0,0,0,0,0,0.406426537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003037027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018505405,0,0,0,0,0,0,0,0,0.080929676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04160569,0.091504194,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-048,0,0,0,0.128956151,0,0,0,0.066520888,0,0,0,0,0,0.008574059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664058,0,0.014386005,0,0,0.010415468,0,0,0.018270227,0.010530556,0.002790885,0,0.036252733,0,0,0,0,0,0,0,0,0,0,0.029894119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287892738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029462539,0,0,0,0,0,0,0,0,0.234175394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010674416,0.04292784,0,0.001870181,0,0,0,0,0,0,0,0,0,0,0
LK16S009-049,0,0,0,0.002668459,0.000796401,0,0,0.000972229,0,0,0,0,0.143734809,0,0,0,0,0,0,0,0,0,0,0,0.000134457,0,0,0.001251487,0,0,0,0,0,0,0,0.000599886,0.135388116,0.021161504,0,0.000692972,0,0,0,0.0002896,0,0,0,0.000124114,0,0,0.000558515,0,0,0,0,0,0.033397114,0,0,0,0,0,0,0,0,0,0,0.01151161,0,0,0,0,0,0.001603144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155143,0,0,0.001830687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001313544,0.001199772,0,0,0,0,0,0,0,0,0.003992346,0,0,0,0.000486115,0,0,0,0,0,0,0,0,0,0,0,0.635744945,0.000393029,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-050,0,0,0,0.085605924,0,0,0,0.03088315,0,0,0,0,0.019505147,0.016615496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013364638,0,0,0,0,0,0,0,0.033637349,0.003747517,0.02582626,0,0,0,0,0,0,0,0,0,0,0,0,0.021536933,0.004289326,0,0,0,0.045150804,0.01629944,0,0,0,0,0,0,0,0,0,0,0.145024381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006366263,0,0,0,0,0,0,0,0.001760881,0.033547047,0,0,0,0.004424779,0,0,0,0,0.057702727,0,0,0,0.0084432,0,0,0,0,0,0,0,0,0.007630486,0,0,0.372087773,0.031876467,0,0.002302691,0,0,0,0,0.01237132,0,0,0,0,0,0
LK16S009-051,0,0,0,0,0,0,0,0,0,0,0,0,0.213353278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072156728,0.003611131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045639954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
