SampleID,CoNS Staphylococcus spp.,OtherTaxa_NotStaph,Staphylococcus aureus,Staphylococcus caprae or S. capitis,Staphylococcus epidermidis,Staphylococcus haemolyticus,Staphylococcus hominis,Staphylococcus lugdunensis,Staphylococcus pasteuri,Staphylococcus pettenkoferi,Staphylococcus warneri
LK16S009-065,0.011645717,0.108102634,0,0,0.753844985,0,0,0.126406663,0,0,0
LK16S009-066,0,0.97911276,0,0,0.019047916,0,0.001839324,0,0,0,0
LK16S009-067,0.013373938,0.061098452,0,0,0.844197883,0,0,0.081329727,0,0,0
LK16S009-068,0.006725069,0.269179719,0,0.001990974,0.713830634,0,0.00707902,0,0.001194585,0,0
LK16S009-069,0.010639006,0.256334802,0,0,0.710110385,0.000932078,0,0.021983729,0,0,0
LK16S009-070,0.003753919,0.738643398,0,0,0.246081348,0.000499191,0.009344861,0,0,0.001677283,0
LK16S009-071,0.034207487,0.378065765,0,0,0.496670969,0.003278076,0.087777702,0,0,0,0
LK16S009-072,0.00332126,0.817273417,0.001946946,0.00488168,0.117160322,0.000343579,0.055072796,0,0,0,0
LK16S009-073,0.009702286,0.293267604,0,0,0.56297424,0,0,0.13405587,0,0,0
LK16S009-074,0.00028714,0.980905208,0,0,0,0,0.018807652,0,0,0,0
LK16S009-075,0.012765389,0.091886292,0,0,0.771503999,0,0,0.12384432,0,0,0
LK16S009-076,0.00994011,0.892655132,0,0,0.084719681,0,0.012685077,0,0,0,0
LK16S009-077,0.005035571,0.649442281,0,0,0.329156542,0.000292766,0,0.01607284,0,0,0
LK16S009-078,0,0.732482699,0,0,0.243512111,0,0.02400519,0,0,0,0
LK16S009-079,0.040930626,0.478403152,0,0,0.384575308,0,0.096090914,0,0,0,0
LK16S009-080,0.002740158,0.853279582,0,0,0.088689315,0,0.055290945,0,0,0,0
LK16S009-081,0.008406911,0.852857927,0.00240801,0,0.076633856,0.023404165,0.03628913,0,0,0,0
LK16S009-082,0.022170703,0.796704781,0,0.002363374,0.064846493,0,0.112519132,0,0.001395516,0,0
LK16S009-083,0.006303437,0.795741827,0,0,0.109371333,0.023537301,0.065046102,0,0,0,0
LK16S009-084,0.000542741,0.835820896,0,0,0.071641791,0,0.091994573,0,0,0,0
LK16S009-085,0.010547932,0.781698248,0,0.003515977,0.095864837,0.032515013,0.071999751,0,0,0.003858241,0
LK16S009-086,0.002172935,0.956502732,0,0,0.021240759,0,0.020083574,0,0,0,0
LK16S009-087,0.102133677,0.311903229,0,0,0.374345476,0.014546524,0.197071095,0,0,0,0
LK16S009-088,0.024262757,0.759813686,0.004717758,0.007383666,0.151911815,0.003654391,0.028680975,0,0,0.019574952,0
LK16S009-089,0,0.97894232,0,0,0.001395126,0,0,0,0.019662554,0,0
LK16S009-090,0.000739481,0.886156918,0,0,0.075390076,0,0.01297789,0,0,0.024735636,0
LK16S009-091,8.83991E-05,0.905943366,0,0,0.060582845,0,0.033385391,0,0,0,0
LK16S009-092,0.015536031,0.982276858,0,0,0.002187111,0,0,0,0,0,0
LK16S009-093,0.012037473,0.772648767,0,0.071858481,0.050505051,0.031716125,0.025435704,0,0,0.035798398,0
LK16S009-094,0,0.989474303,0,0.006615312,0,0,0.003910385,0,0,0,0
LK16S009-095,0.123906776,0.173450264,0,0,0.411989428,0.024783758,0.265869774,0,0,0,0
LK16S009-096,0.032415933,0.637268945,0.001858673,0.01210695,0.248260692,0.002080349,0.066008458,0,0,0,0
LK16S009-097,0.131234708,0.019191077,0,0.004059651,0.130154868,0,0.714710425,0,0,0.000649271,0
LK16S009-098,0.021266638,0.089178942,0,0.848293778,0.039041424,0,0.002219219,0,0,0,0
LK16S009-099,0.010108613,0.096998857,0,0.002848704,0.036871189,0,0.853172637,0,0,0,0
LK16S009-100,0,0.921423277,0,0.041512231,0,0,0.037064492,0,0,0,0
LK16S009-101,0.008688281,0.072492246,0,0,0.052553507,0,0.866265965,0,0,0,0
LK16S009-102,0,0.808762581,0,0.119005329,0.07223209,0,0,0,0,0,0
LK16S009-103,0.009358605,0.818405256,0,0.01023302,0.05816042,0,0.099163397,0.004679302,0,0,0
LK16S009-104,0,0.92201556,0,0.00632142,0.037746171,0,0.033916849,0,0,0,0
LK16S009-105,0.113934893,0.004118696,0,0.001178681,0.119133417,0,0.760970252,0,0,0.000664062,0
LK16S009-106,0.017042568,0.035238552,0,0.911958351,0.033439287,0,0.002271382,0,0,4.98605E-05,0
LK16S009-107,0.007507119,0.115195444,0,0.001632848,0.027718593,0,0.846472451,0,0.001473546,0,0
LK16S009-108,0,1,0,0,0,0,0,0,0,0,0
LK16S009-109,0.017855543,0.031545091,0,0.001101973,0.031195685,0,0.918301708,0,0,0,0
LK16S009-110,0,1,0,0,0,0,0,0,0,0,0
LK16S009-111,0,0.924446203,0,0,0.007318038,0,0.048655063,0,0.019580696,0,0
LK16S009-112,0,0.957198444,0,0,0.030263727,0,0.01253783,0,0,0,0
LK16S009-113,0,0.928,0,0,0,0,0.072,0,0,0,0
LK16S009-114,0,0.91797676,0,0.018455229,0,0,0.028024607,0,0.035543404,0,0
LK16S009-115,0,0.859522085,0,0,0.078928313,0,0.061549602,0,0,0,0
LK16S009-116,0,0.984158416,0,0,0.015841584,0,0,0,0,0,0
LK16S009-117,0.012234043,0.904255319,0,0,0.05106383,0,0.032446809,0,0,0,0
LK16S009-118,0,0.83127572,0,0,0,0,0,0.16872428,0,0,0
LK16S009-119,0.00388551,0.509110435,0,0,0.478846896,0,0.007421083,0,0.000736075,0,0
LK16S009-120,0,0.893141359,0,0,0.106858641,0,0,0,0,0,0
LK16S009-121,0,1,0,0,0,0,0,0,0,0,0
LK16S009-122,0,1,0,0,0,0,0,0,0,0,0
LK16S009-123,0,1,0,0,0,0,0,0,0,0,0
LK16S009-124,0,1,0,0,0,0,0,0,0,0,0
LK16S009-125,0,0.145942408,0,0.056937173,0.097513089,0,0,0.69960733,0,0,0
LK16S009-126,0,1,0,0,0,0,0,0,0,0,0
LK16S009-127,0,0.308250227,0,0,0.655711695,0,0.036038078,0,0,0,0
LK16S009-128,0,1,0,0,0,0,0,0,0,0,0
