feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Raoultella	PMAxx		-2.18615059841699	0.203635720166781	534	99	1.3807079427102e-22	5.38476097656978e-21
Acinetobacter	PMAxx		1.50663380894922	0.157796279000342	534	508	9.16269119993657e-19	1.19114985599175e-17
Escherichia.Shigella	PMAxx		3.23718176780812	0.339054897052444	534	340	9.09075170855925e-19	1.19114985599175e-17
Corynebacterium	PMAxx		-2.17215003149295	0.240543507344474	534	459	3.53505919495032e-17	3.44668271507656e-16
Bacillus	PMAxx		1.49837914543594	0.167323908369778	534	307	6.13784847065406e-17	4.78752180711017e-16
Dietzia	PMAxx		-1.93940799945057	0.219779357966182	534	165	1.48991059139355e-16	9.68441884405811e-16
Anaerococcus	PMAxx		-2.39195511452521	0.272782690814029	534	318	2.19571968395806e-16	1.2233295382052e-15
Micrococcus	PMAxx		-3.16903202963519	0.368341839167014	534	367	6.78731729073716e-16	3.30881717923436e-15
Finegoldia	PMAxx		-2.72205489663008	0.32148819801878	534	229	1.7246608242664e-15	7.47353023848775e-15
Paracoccus	PMAxx		-2.43857480750025	0.289009188032364	534	200	2.09272313848288e-15	8.16162024008324e-15
Brachybacterium	PMAxx		-1.62254999330911	0.19658267726326	534	129	7.16859836051395e-15	2.54159396418222e-14
Afipia	PMAxx		0.86432741318977	0.11684186294746	534	171	1.82978115746975e-12	5.78884519965435e-12
Brevibacterium	PMAxx		-1.50425031317569	0.203639489810402	534	118	1.92961506655145e-12	5.78884519965435e-12
Staphylococcus	PMAxx		-1.60244268246121	0.221655732442799	534	466	5.13718771110539e-12	1.43107371952222e-11
Serratia	PMAxx		-1.11062656579691	0.154705279900185	534	55	6.95283451574905e-12	1.80773697409475e-11
Peptoniphilus	PMAxx		-1.70148703632864	0.249940499300353	534	169	6.63450950865226e-11	1.61716169273399e-10
Streptococcus	PMAxx		-2.00019206796803	0.306291413939747	534	347	3.31091153505803e-10	7.59562058042723e-10
Rothia	PMAxx		-1.44325175922944	0.222023913824292	534	119	3.99784830555863e-10	8.66200466204371e-10
Actinomyces	PMAxx		-1.33232630430554	0.216762835354108	534	107	2.87634904740004e-09	5.90408488676851e-09
Kocuria	PMAxx		-1.405136424226	0.233059640719046	534	193	5.48081423518455e-09	1.06875877586099e-08
Brevundimonas	PMAxx		-1.67653539996853	0.283607536696109	534	165	1.03424256087455e-08	1.92073618448131e-08
Lawsonella	PMAxx		-1.59200344819961	0.27031550857744	534	143	1.16204284117682e-08	2.05998503663164e-08
Gemella	PMAxx		-1.02822122922419	0.174856870091895	534	76	1.2426375507809e-08	2.10708106436761e-08
Dermabacter	PMAxx		-0.666860504403225	0.122179660744764	534	72	1.10120550405285e-07	1.78945894408589e-07
Cutibacterium	PMAxx		-1.17710614742904	0.235564150226335	534	446	1.05568983289202e-06	1.64687613931155e-06
Luteimonas	PMAxx		-0.818665256051372	0.164601485440801	534	61	1.17891538773059e-06	1.76837308159589e-06
uncultured	PMAxx		-1.53809630749385	0.321487952202009	534	193	2.85503602739855e-06	4.12394092846457e-06
Veillonella	PMAxx		-1.14855728379542	0.258682788965032	534	102	1.31797692778037e-05	1.83575357797981e-05
Roseomonas	PMAxx		-0.79174072657351	0.181245035000773	534	75	1.79371171246745e-05	2.41223299262864e-05
Streptomyces	PMAxx		1.11093071487635	0.255002383015721	534	200	1.88752945500158e-05	2.45378829150205e-05
Amaricoccus	PMAxx		-0.572096593671235	0.138961575584601	534	74	5.12491653464092e-05	6.44747564035471e-05
Aerococcus	PMAxx		-0.657935140972788	0.160884561824354	534	56	5.72597483826323e-05	6.97853183413331e-05
Kytococcus	PMAxx		-0.602898787432253	0.154965859218892	534	69	0.000126388783216958	0.000149368561983678
Haemophilus	PMAxx		-0.76366927346251	0.232536099498174	534	105	0.00115982140663629	0.00133038337820045
Prevotella	PMAxx		-0.405443062074501	0.139788205618924	534	56	0.00403741499234435	0.00449883384861228
Stenotrophomonas	PMAxx		-0.224501147671867	0.159126428724889	534	64	0.159458637721116	0.172746857531209
Pseudomonas	PMAxx		0.427794237860932	0.326809024042179	534	278	0.191661388101639	0.20202146313416
Lactococcus	PMAxx		-0.272513535665605	0.223870841198476	534	72	0.224601329600485	0.230511890905761
Methylobacterium.Methylorubrum	PMAxx		0.099307360677087	0.247611887513054	534	167	0.688698360408211	0.688698360408211
